"","artist","genres"
"113","Manuel Turizo","colombian pop,latin,reggaeton"
"114","C. Tangana","trap espanol"
"115","Brytiago","latin,reggaeton flow,trap latino,tropical"
"116","Thalía",NA
"117","Dame 5","cumbia pop"
"118","Plan B","latin,reggaeton,reggaeton flow,tropical"
"119","Zion & Lennox","latin,latin hip hop,latin pop,pop,reggaeton,tropical"
"120","Cauty","reggaeton flow"
"121","Luana",""
"122","Maikel Delacalle","latin pop,trap espanol,trap latino"
"123","Lil Baby","atl hip hop,atl trap,rap,trap music"
"124","Sheck Wes","hip hop,pop rap,rap,trap music,underground hip hop"
"125","Flipp Dinero","rap,trap music,vapor trap"
"126","A Boogie Wit da Hoodie","hip hop,pop,pop rap,rap,trap music"
"127","21 Savage","atl hip hop,pop,pop rap,rap,trap music"
"128","Gucci Mane","atl hip hop,dirty south rap,hip hop,pop,pop rap,rap,southern hip hop,trap music"
"129","Juice WRLD","rap"
"130","Cardi B","pop,rap"
"131","Drake","canadian hip hop,canadian pop,hip hop,pop rap,rap"
"132","Tyga","hip hop,pop,pop rap,rap,southern hip hop,trap music"
"133","Ski Mask The Slump God","miami hip hop,rap,trap music"
"134","Gülsen",NA
"135","Ben Fero","turkish hip hop,turkish trap"
"136","Bora Duran","deep turkish pop,turkish pop"
"137","Ezhel","turkish hip hop,turkish trap"
"138","Bilal Sonses","turkish pop"
"139","Anil Piyanci","turkish hip hop,turkish trap"
"140","Burry Soprano","turkish trap"
"141","Tahribad-i Isyan","turkish hip hop"
"142","Sehinsah","turkish hip hop,turkish trap"
"143","Ufuk Beydemir","turkish rock"
"144","Soner Sarikabadayi","arabesk,turkish pop"
"145","Musta","turkish hip hop"
"146","Canbay & Wolker","turkish hip hop,turkish pop,turkish trap"
"147","Cengiz Ates",""
"148","Yüzyüzeyken Konusuruz","turkish rock"
"149","DJ Tarkan","groove room"
"150","Manus Baba","turkish pop,turkish rock"
"151","Velet","turkish hip hop,turkish pop,turkish trap"
"152","Simge","deep turkish pop,persian pop,turkish pop"
"153","Rafet El Roman","arabesk,turkish folk,turkish pop"
"154","mor ve ötesi","turkish alternative,turkish alternative rock,turkish jazz,turkish pop,turkish rock"
"155","Hande Yener","turkish pop"
"156","Contra","turkish hip hop,turkish trap"
"157","Ceza","turkish hip hop,turkish rock"
"158","DJ Artz","turkish hip hop,turkish trap"
"159","Tugçe Kandemir",""
"160","Ceg","turkish hip hop,turkish trap"
"161","Emrah Karaduman","turkish pop"
"162","Buray","turkish pop"
"163","Onur Can Özcan",NA
"164","Merve Özbey",NA
"165","Edis","turkish pop"
"166","Mabel Matiz","karadeniz halk muzigi,turkish pop"
"167","MILION+","czsk hip hop"
"168","Anne-Marie","dance pop,pop,post-teen pop,tropical house"
"169","ONEMANSHOW Foundation","czech pop"
"170","Avicii","big room,dance pop,edm,pop"
"171","Nik Tendo","czsk hip hop"
"172","Axwell /\ Ingrosso",NA
"173","Rudimental","dance pop,edm,liquid funk,pop,pop rap,tropical house,uk funky"
"174","The Toys","thai pop"
"175","Palmy","thai idol,thai pop"
"176","Polycat","greek house,thai pop"
"177","F.HERO","thai hip hop"
"178","OG-ANIC","thai pop"
"179","UrboyTJ","thai hip hop,thai idol,thai pop"
"180","ACTART",""
"181","Non Tanon","thai idol,thai pop"
"182","Lipta","thai idol,thai pop"
"183","Zeal","swiss metal"
"184","Pop Pongkool","thai idol,thai pop"
"185","Atom Chanakan","thai idol,thai pop"
"186","NICECNX","thai hip hop"
"187","IZ*ONE","k-pop"
"188","Getsunova","thai idol,thai pop,thai rock"
