"","artist","genres"
"551","Angèle",NA
"552","Maes","french hip hop,trap francais"
"553","Lomepal","french hip hop,rap conscient"
"554","Bramsito","francoton,french hip hop,trap francais"
"555","Dadju","francoton,french hip hop,trap francais"
"556","Lacrim","arabic hip hop,french hip hop,rap maroc,trap francais"
"557","Orelsan","belgian hip hop,french hip hop,rap conscient"
"558","Vegedream","francoton,french hip hop,trap francais"
"559","Rim'K","arabic hip hop,francoton,french hip hop,trap francais"
"560","Kpoint","french hip hop,rap conscient,trap francais"
"561","Kendji Girac","francoton,french pop"
"562","Vitaa","francoton,french pop"
"563","The Prince Karma",""
"564","Jul","francoton,trap francais"
"565","GLK","french hip hop,trap francais"
"566","Booba","belgian hip hop,french hip hop,rap conscient,trap francais"
"567","Trois Cafés Gourmands","francoton"
"568","MHD","francoton,french hip hop,trap francais"
"569","RK",""
"570","Ofenbach","tropical house"
"571","Damso","belgian hip hop,french hip hop,rap conscient,trap francais"
"572","Medine","francoton,french hip hop,rap conscient,trap francais"
"573","Snik","greek hip hop"
"574","FY","greek hip hop"
"575","Edwin Luna y La Trakalosa de Monterrey","banda,regional mexican"
"576","I Belong to the Zoo","opm,pinoy indie"
"577","juan karlos","opm,pinoy indie"
"578","This Band",""
"579","December Avenue","opm,pinoy alternative,pinoy indie"
"580","Ben&Ben","chamber pop,fingerstyle,folk-pop,indie folk,neo mellow"
"581","LANY","pop"
"582","IV Of Spades","opm,pinoy alternative,pinoy indie"
"583","Khel Pangilinan","opm,pinoy indie"
"584","Janine Teñoso","opm"
"585","Callalily","classic opm,opm,pinoy alternative,pinoy indie"
"586","Moira Dela Torre","opm"
"587","UNIQUE","boom bap,underground rap"
"588","Marion","candy pop,norwegian pop"
"589","Silent Sanctuary","classic opm,opm,pinoy alternative,pinoy indie"
"590","Nublu","estonian pop"
"591","Elina Born","estonian pop,eurovision"
"592","Pluuto",""
"593","5MIINUST","estonian hip hop,estonian pop"
"594","Tommy Cash","escape room,estonian hip hop,hyperpop"
"595","Silvestre Dangond","colombian pop,cumbia,latin,latin pop,tropical,vallenato"
"596","CNCO","boy band,latin,latin pop,pop,reggaeton,tropical"
"597","Mike Bahía","colombian pop,latin,latin pop,pop reggaeton"
"598","ChocQuibTown","colombian hip hop,colombian pop,cumbia,latin,latin alternative,latin pop,latin rock"
"599","Andrés Cepeda","colombian pop,cumbia,latin,latin pop"
"600","Jessi Uribe",""
"601","Gilli","danish hip hop,danish pop"
"602","Jamaika","danish hip hop,danish pop"
"603","Citybois","danish hip hop,danish pop"
"604","MellemFingaMuzik","danish hip hop,danish pop"
"605","Omar",""
"606","Anders Matthesen","classic danish pop,danish hip hop,danish pop"
"607","Benny Jamz","danish pop"
"608","Christopher","danish pop"
"609","Sivas","danish hip hop,danish pop"
"610","KESI","danish hip hop,danish pop"
"611","El Alfa","dembow,latin,rap dominicano,reggaeton flow,tropical"
"612","Alajaza",""
"613","Jennifer Lopez","dance pop,pop,post-teen pop,r&b,urban contemporary"
"614","Amenazzy","rap dominicano,reggaeton flow"
"615","Yannc","reggaeton flow"
"616","Tommy Boysen",""
"617","Santaferia","cumbia chilena"
"618","DrefQuila","argentine hip hop"
"619","Felipe Araújo","sertanejo universitario"
"620","Zé Neto & Cristiano","sertanejo universitario"
"621","Márcia Fellipe","sertanejo pop,sertanejo universitario"
"622","Gabriel Diniz","sertanejo pop"
"623","Wesley Safadão","forro"
"624","Marília Mendonça","sertanejo"
"625","Henrique & Juliano",""
"626","Humberto & Ronaldo",""
"627","MC Kevin o Chris","brazilian electronica"
"628","Mc Livinho","baile pop,brazilian electronica,deep funk carioca"
"629","Luan Santana","sertanejo,sertanejo universitario"
"630","Yasmin Santos","sertanejo pop,sertanejo universitario"
"631","Lexa","baile pop"
"632","Melim","baile pop,mpb,nova mpb"
"633","Maiara & Maraisa","sertanejo universitario"
"634","Pineapple StormTv","brazilian hip hop"
"635","Jorge & Mateus","bossa nova,forro,manguebeat,mpb,pagode,samba"
"636","Gusttavo Lima","sertanejo,sertanejo universitario"
"637","IZA","baile pop"
"638","Diego & Victor Hugo","latin arena pop,latin pop,latin viral pop"
"639","Clau","baile pop"
"640","Matheus & Kauan","baroque ensemble,opera"
"641","Lucas Lucco","brazilian electronica,sertanejo pop,sertanejo universitario"
"642","Mc Pocahontas","baile pop,deep funk carioca,funk carioca"
"643","Lagum","brazilian electronica,nova mpb"
"644","Atitude 67","brazilian electronica"
"645","Lauana Prado","sertanejo pop,sertanejo universitario"
"646","Alok","electro house"
"647","Ferrugem","pagode"
"648","Dilsinho","pagode,sertanejo pop"
"649","Turma do Pagode","pagode,sertanejo universitario"
"650","Baco Exu do Blues","baile pop,brazilian hip hop"
"651","André Hazes Jr.","dutch pop,dutch rock"
"652","Regi","belgian dance"
"653","Tourist LeMC","belgian hip hop"
"654","Hilltop Hoods","australian hip hop,australian pop,pop rap"
"655","KIAN","australian pop"
"656","Morgan Evans","australian country,australian pop,canadian contemporary country,contemporary country"
"657","Kanye West","pop rap,rap"
"658","TINI","cumbia pop,electra,latin pop"
"659","C.R.O","trap argentino"
"660","Ecko","argentine hip hop,cumbia pop,trap argentino"
